EventID,ActorName,TargetName,HostName,ActorID,TargetID,HostID,DyadID,Host_agency,Event_type,Year,Month,Day,Quarter,Eventsummary,Source,Host_agency,Twelve_rule,Announcementform,Crackdownform,Crackdown_dislodged,Crackdown_dislodged_justification,Crackdown_Leadershipdecapitation,Crackdown_Leadershipdecapitation_summary,Crackdown_intrusive,Crackdown_joint,Crackdown_intrusive_joint_summary,Dom_territoryname,Accession_eventclarity,Accession_dateclarity,Pledge_eventclarity,Pledge_dateclarity,Crackdown_eventclarity,Crackdown_dateclarity,Dom_eventclarity,Dom_dateclarity
103,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,1,Crackdown,2005,8,,,"(1) ""The FDLR re-infiltrated certain bases after the withdrawal of the FARDC and MONUC and rotated throughout South Kivu, changing FDLR concentrations in the province (...) In August 2005, FDLR troops headed north towards Bunyakiri (a transit zone between North Kivu and South Kivu), south to the Ruzizi Plain and reinforcements arrived from the main FDLR Headquarters in Kibue, North Kivu, passing from Kambogoti to Bunyakiri. A strong FDLR concentration was established in Kalonge, between Bunyakiri and Shabunda.""; (2) ""[By late 2005 notwithstanding the MONUC and Rwandan assaults in the DRC,] the FDLR was a well-organized, nearly conventional army (...) the government had failed to uproot it, did not really want to use it as an excuse for offensive operations in the eastern Congo anymore, but could not tolerate it on its borders for dear that one day it might develop into a real threat if something went wrong inside Rwanda itself.""; (3) ""[As of 2006] The FARDC regularly close their eyes to rebels penetrating the borders.""; (4) ""The Congolese transitional government itself supported the Hutu rebels and it has never prevented the flow of arms to them. The incapacity and unwillingness of the Congolese government to dismantle the FDLR have, in fact, been key factors in the rebels’ protracted presence in eastern Congo.""; (5) ""Despite ostensibly banning FDLR leadership from the DRC, FDLR leaders travelled openly in the DRC and Joseph Kabila attempted to gain international recognition for the FDLR""",Rafti 2006: 23; Prunier 2009: 309; Rafti 2006: 12; Rafti 2007: 81; Rafti 2006: 24,1,,,,,,0,,0,0,,,4,4,,,,,,
104,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,,Toleration,2006,8,,,"(1) ""The years between 2003 and 2009 were marked by continuous unrest in the Kivus, which played to the FDLR’s advantage. In particular, the group’s fate was determined by relations between Congo and Rwanda. With the emergence of Laurent Nkunda’s Congrès National pour la Défense du Peuple (CNDP) in 2006, Rwanda’s support of a rebellion in the Kivus fostered an alliance of convenience between the government in Kinshasa and the FDLR. This gave the Rwandan rebels an infusion of weapons and heightened their morale.""",Stys 2014: 3,,1,,,,,,,,,,,,,,,,,,
105,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,1,Pledge,2008,12,4,,"(1) ""Dec 4 (Reuters) - Congo and Rwanda have agreed a military plan to try to disband a Rwandan Hutu militia whose presence in eastern Congo is seen as a root cause of enduring conflict there, the Congolese Foreign Minister said on Thursday [4 Dec 2008]""; (2) ""The neutralisation of Nkunda was part of a deal between President [Joseph] Kabila [of the DRC] and President [Paul] Kagame [of Rwanda],"" Guillaume Lacaille, International Crisis Group DRC analyst, told IRIN. (…) 'To rebound from this last humiliation, Kabila actually made a deal with Rwanda to oust the FDLR and in exchange he got Nkunda's head,' Lacaille said.""; (3) ""With the disbanding of the CNDP later in the year [2008], the FDLR’s currency with the Congolese state decreased and the Kinshasa government agreed to the joint demobilisation operation with the Rwandan army""; (4) ""In 2008, President Kabila struck a deal with the Rwandan government, leading to the arrest of CNDP leader Laurent Nkunda and the integration of CNDP troops into the FARDC. As part of this deal, Rwanda deployed troops to the Kivus to hunt down the Rwandan Forces démocratiques pour la libération du Rwanda (FDLR) in joint operations with the FARDC.""",Reuters 2008; IRIN 2009; Marriage 2019: 91; Vogel and Stearns 2018: 697,1,,2,,,,,,,,,,,,5,5,,,,
106,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,1,Crackdown,2009,1,,,"(1) ""in January 2009 (...) the Rwandan and the Congo governments began cooperating on neutralising the FDLR forces""; (2) ""Operations [against the FDLR] have intensified since the joint operation between the Rwandan army and the FARDC in early 2009, followed by a series of UN-supported operations by the FARDC designed to fracture FDLR command and control (…) These have been successful in forcing the FDLR away from the border region between Rwanda and the DRC, and had in 2009 and early 2010 pushed the FDLR out of some of the most profitable resource-rich regions that they had been exploiting, in some cases for many years. They have, however, not significantly degraded FDLR command and control.""; (3) ""[There was] a rapprochement of sorts between the Congolese and Rwandan states. In early 2009 the two governments launched a joint initiative to demobilise the FDLR, and this was followed by a further mission led by the Congolese army.""; (4) ""The initiation of a series of military interventions in 2009 proved to be a turning point, beginning with Umoja Wetu, an operation conducted jointly by the Rwanda Defence Forces and the FARDC. (...) Additional FARDC-led and UN-supported interventions followed and, by 2012, had led to the defection of almost 4,000 FDLR elements. The attacks also disrupted the group’s ability to control territory""; (5) ""Following a secret agreement between former DRC President Joseph Kabila and Kagame, Rwanda deployed about 4,000 troops under the Umoja Wetu operation with the Congolese armed forces to fight the Congrès national pour la défense du peuple (CNDP) and the FDLR in January and February 2009.""","Venugopalan 2016: 7; Shepherd 2016: 74; Marriage 2016: 89, 95; Florquin and Seymour 2016: 1-2; ICG 2022: 3",1,,,3,,,0,,1,1,"(1) ""in January 2009 (...) the Rwandan and the Congo governments began cooperating on neutralising the FDLR forces""; (2) ""Rwanda deployed about 4,000 troops under the Umoja Wetu operation with the Congolese armed forces to fight the Congrès national pour la défense du peuple (CNDP) and the FDLR in January and February 2009""",,,,,,5,5,,
107,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,1,Crackdown_dislodged,2009,2,,,"(1) ""Operations [against the FDLR] have intensified since the joint operation between the Rwandan army and the FARDC in early 2009, followed by a series of UN-supported operations by the FARDC designed to fracture FDLR command and control (…) These have been successful in forcing the FDLR away from the border region between Rwanda and the DRC, and had in 2009 and early 2010 pushed the FDLR out of some of the most profitable resource-rich regions that they had been exploiting, in some cases for many years. They have, however, not significantly degraded FDLR command and control.""; (2) ""The initiation of a series of military interventions in 2009 proved to be a turning point, beginning with Umoja Wetu, an operation conducted jointly by the Rwanda Defence Forces and the FARDC. (...) Additional FARDC-led and UN-supported interventions followed and, by 2012, had led to the defection of almost 4,000 FDLR elements. The attacks also disrupted the group’s ability to control territory""; (3) ""In the framework of the so-called “four plus four” mechanism in which four Rwandan officials met several times with their counterparts from the DRC, the Rwandan and Congolese armies planned a joint military operation, dubbed “Umoja Wetu” (English: Our Unity), to defeat the FLDR. This allowed Rwanda to send troops to the DRC to attack the FLDR (...) The joint operation started in late January 2009 and ended with Rwanda withdrawing at the end of February 2009. (...) The Congolese national army, with support from MONUC, continued to fight the FDLR after Rwanda’s withdrawal.""; (4) ""[During] Kimia II, (...) March-December 2009 (...) The FDLR were dislodged from their military and political headquarters in Masisi, strongholds in Lubero, as well as trading, taxation and mining areas. The leadership of both RUD and FDLR were forced into sparsely populated, remote areas of Masisi, Walikale and Lubero.""",Shepherd 2016: 74; Florquin and Seymour 2016: 1-2; Duursma and Gamez 2021: 243; Stys 2014: 10,1,,,3,,"(1) ""The attacks also disrupted the group’s ability to control territory"" (Florquin and Seymour 2016: 1-2); (2) ""the group evacuated most of its positions in South Kivu and regrouped its soldiers in the inaccessible Itombwe forest, straddling Mwenga and Uvira territories."" (Stys 2012: 4)",0,"""[However,] the force was not demobilised or even much weakened (...) In November 2009 a Panel of Experts Report found that, contrary to the claims made, the military operations had failed to dismantle the FDLR"" (Marriage 2016: 96)",1,1,"(1) ""in January 2009 (...) the Rwandan and the Congo governments began cooperating on neutralising the FDLR forces""; (2) ""Rwanda deployed about 4,000 troops under the Umoja Wetu operation with the Congolese armed forces to fight the Congrès national pour la défense du peuple (CNDP) and the FDLR in January and February 2009""",,,,,,5,5,,
108,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,,Toleration,2013,NA,,1,"(1) ""Progress in routing the FDLR lost momentum at the end of 2012 and into 2013, however, with the resurgence of other armed groups in the Kivus, notably the M23.""; (2) ""Pressure on the FDLR was eased somewhat by the end of the Rwanda-Congo entente that began with the M23 rebellion in April 2012. The Congolese army’s focus shifted from the FDLR to the M23, and numerous reports surfaced of renewed collaboration between Congolese troops and the Rwandan rebels. (...) While the group is not able to seriously threaten the Rwandan government, it is still able to carry out raids into western Rwanda, where most of the country’s economic resources are located. Between late 2012 and mid-2013, the FDLR managed to carry out three serious attacks on Rwandan soil. Ironically, the attacks were only possible due to M23 operations, which left parts of the border exposed."" ",Florquin and Seymour 2016: 2; Stys 2012: 4-5,,,,,,,,,0,,,,4,4,,,,,,
109,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,1,Crackdown,2015,1,27,,"(1) ""The FARDC unilaterally launched its ‘Sukola II’ operation on 27 January 2015 and carried out offensives in the provinces of North and South Kivu. (...) the FDLR’s response was to retreat and abandon strongholds without fighting""; (2) ""The Congolese army (FARDC) has launched military operations against the Forces démocratiques de libération du Rwanda (FDLR) (...) The FARDC's operation, dubbed Sukola II (Lingala for ""cleaning""), began in earnest on February 24th when troops launched strikes against FDLR positions in the South Kivu province of the Democratic Republic of Congo (DRC). A few days later FARDC launched attacks in North Kivu too, where the bulk of FDLR's estimated 1,200-1,500 remaining combatants are located.""; (3) ""the Sukola II offensive of the national army, the Forces armées de la République démocratique du Congo (FARDC), against the Rwandan Forces démocratiques de libération du Rwanda (FDLR) rebels in late 2015.""; (4) ""In 2015, [FARDC] launched a new operation targeting mainly the FDLR, one in a long series that has weakened the group since 2009.""; (5) ""During his tenure, former president Kabila made sure that his security services cooperated and shared intelligence with Kigali.""; (5) ""Following a row over the human rights record of the two FARDC generals selected to lead the operation, military collaboration between MONUSCO and the FARDC was suspended, however (UNSC, 2015, para. 26). The FARDC unilaterally launched its ‘Sukola II’ operation on 27 January 2015 and carried out offensives in the provinces of North and South Kivu.""",Florquin and Seymour 2016: 2-3; EIU 2015; Vogel and Stearns 2017: 2; Florquin and Seymour 2016: 1; ICG 2020-Averting; Florquin and Seymour 2016: 2,1,,,3,,"""The FDLR’s response was to retreat and abandon strongholds"" (Florquin and Seymour 2016: 3)",0,,0,0,,,,,,,4,3,,
110,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,1,Crackdown_dislodged,2015,11,,,"(1) ""In November 2015, the FARDC began a new wave of attacks in North Kivu, which forced the FDLR to retreat to areas where it faced opposition from other local armed groups. Some observers viewed the last round of attacks as significant, possibly the largest in the region since those targeting M23 in 2013.  The FDLR retreated together with dependents and Congolese civilians, abandoning the FDLR headquarters in Katobo (...) Sukola II had forced FDLR elements to abandon long-held positions and had further disrupted the group""; (2) ""during their Sukola II operations against the FDLR in late 2015 and early 2016, the FARDC collaborated with local proxies, in particular the NDC-R and the Mai-Mai Mazembe, against the Rwandan rebels.""",Florquin and Seymour 2016: 3; Stearns 2022: 234,1,,,3,,"""The FDLR retreated together with dependents and Congolese civilians, abandoning the FDLR headquarters in Katobo"" (Florquin and Seymour 2016: 3)",0,"""No senior officers were captured in 2015"" (Florquin and Seymour 2016: 3)",0,0,,,,,,,4,4,,
111,FDLR,Rwanda,DR Congo (Zaire),528,517,490,12102,,Toleration,2021,6,,,"(1) ""This initial optimism regarding possible regional cooperation faded away in June 2022. A couple of weeks of tensions between DRC and Rwanda based on mutual allegations of rocket-firing and support of insurgents escalated in the death of a Congolese soldier on Rwandan soil. (...)  [Thus] president Tshisekedi denounced all bilateral trade agreements with Rwanda and refuses any type of EAC mission in DRC which would include Rwandan troops.""; (2) ""Rwandan officials claim that Tshisekedi has not allowed them to 'take care of the FDLR' – a longstanding complaint of Kagame’s that he also levelled at Tshisekedi’s predecessor, Joseph Kabila – even suggesting that the Congolese army cooperates with the group.""; (3) ""the Congolese army’s collaboration with the FDLR has been repeatedly demonstrated""",Čáslavová 2022; ICG 2022-Regional; ICG 2022-Easing,,,,,,,,,,,,,4,4,,,,,,
112,FLEC-FAC,Angola,Angola,541,540,540,832,,Dom gain,1993,3,,,"(1) ""[FLEC escalated violence in] the beginning of 1993. By mid-1993, FLEC-FAC was thought to be in control of much of the rural interior of Cabinda, but not of Cabinda town, home to one-half of the enclave’s population. FLEC-FAC achieved this with a force reported to be no larger than 600 to 1,000 armed men.""; (2) ""Mar 1993 - FLEC rebels were thought to be in control of much of Cabinda's jungle interior, but the Angolan government still controlled Cabinda City, where one-half of Cabinda's population lives, and the oil wealth""",Porto 2003: 77; MAR (2004),,,,,,,0,,,,,Cabinda bushes,,,,,,,4,4
113,FLEC-FAC,Angola,Angola,541,540,540,832,,Dom loss,2002,12,,,"(1) ""By the end of the year, it was reported that the main bases of both FLEC–FAC and FLEC–R had been destroyed""; (2) ""At the end of December 2002, the FAA had claimed it had captured the bastions of another separatist faction, the FLEC-R""; (3) ""The FAA gradually advanced to the heart of the rebel-held territory, and by the end of October 2002 it had destroyed Kungo-Shonzo, the FLEC-FAC’s (Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda) main base in the municipality of Buco-Zau""",UCDP 2022; Porto 2003: 1; Porto 2003: 1,,,,,,,0,,,,,Cabinda bushes,,,,,,,4,4
114,FLEC-FAC,Angola,Congo,541,540,484,832,,Accession,1967,1,10,,"(1) ""10 January 1967: FLEC, following the example of the MPLA, created a government in exile based in the border town of Tshela, Zaire. In the early years of the autonomy movement, Zaire allowed the rebels to use its territory and generally gave them its support.""",World Investment News 2002,,,,,,,,,,,,,4,4,,,,,,
115,FLEC-FAC,Angola,Congo,541,540,484,832,1,Pledge,1975,12,,,"(1) ""For some months [after the Alvor agreement] Ngouabi was more concerned that a fallout with Congo-Kinshasa could spell the end of his regime. Aware of the risk of a confrontation, Ngouabi accordingly decided to ban all FLEC activities on Congolese soil""",Martin 2019: 215,1,,4,,,,,,,,,,,,4,4,,,,
116,FLEC-FAC,Angola,Congo,541,540,484,832,,Toleration,1976,12,,,,,,1,,,,,,,,,,,,,,,,,,
117,FLEC-FAC,Angola,Congo,541,540,484,832,1,Crackdown,1977,4,,,"(1) ""Following the assassination of Ngouabi [then president of Brazzaville] in March 1977, the Military Committee of the party now headed Congo-Brazzaville; the committee’s two main leaders, Joachim Yhombi Opango and Denis Sassou-Nguesso, (...) launched a policy of rapprochement with the communist bloc. On the orders of Sassou, a raid was organized and more than 400 Cabindans were made prisoners and incarcerated at the Pointe-Noire air base under the supervision of Cuban soldiers.""",Martin 2019: 216,1,,,1,,,0,,0,0,,,,,,,4,4,,
118,FLEC-FAC,Angola,Congo,541,540,484,832,,Toleration,1977,5,,,"(1) ""[FLEC] continued to find refuge in Congo, [even though] the official Congolese position since the time of the late president Marien Ngouabi continued to be a negotiated solution”",Mabeko-Tali 2001: 60,,,,,,,,,,,,,4,4,,,,,,
119,FLEC-FAC,Angola,Congo,541,540,484,832,1,Crackdown_dislodged,1997,10,,,"(1) ""The Republic of Congo carried out raids on [FLEC] camps""; (2) ""the [Angolan] intervention had been short, sharp and decisive and had succeeded in achieving clear and limited objectives. UNITA was now effectively removed from Congo and the FLEC campaign, denied external bases and supply routes, could be expected to subside once more.""; (3) ""FAA troops launched an invasion on Congo-Brazzaville in October 1997. At the same time, an unnamed American defense contractor shipped nearly 500 former U.S. Special Forces operatives to Cabinda. By extending Angola’s inﬂuence over Congo-Brazzaville, a country that habitually harbored FLEC and UNITA forces, the invasion served both Angola’s and Chevron’s interests.""; (4) ""the end of the civil war and the repossession of power by Sassou-Nguesso forced the FDC to dismantle its bases in Congo-Brazzaville""",Minahan 2002: 352; McQueen 2017: 102; Reed 2009: 191; Martin 2019: 221,1,,,3,,"""The installation of new governments in the neighboring states ended much of the Cabindan separatists' outside support, while their bases in those countries were closed and the fighters dispersed"" (Minahan 2002: 352)",0,,1,1,"""FAA troops launched an invasion on Congo-Brazzaville""",,,,,,5,5,,
120,FLEC-FAC,Angola,Congo,541,540,484,832,,Toleration,2002,12,15,,"(1) ""Angola's remaining 1,500 troops backing President Denis Sassou-Nguesso in the Republic of Congo (ROC) began to pull out on Monday, thereby ending a five-year presence in the country""",The New Humanitarian 2002,,,,,,,,,0,,,,4,5,,,,,,
121,FLEC-FAC,Angola,Congo,541,540,484,832,0,Crackdown,2013,10,,,"(1) ""Angolan troops entered Congo unlawfully in pursuit of separatist rebels from the Front de libération de l'enclave du Cabinda (FLEC), and also took a number of Congolese troops and civilians hostage (…) The recent incursion is the first such confrontation between the two countries since Angola helped to topple the former president, Pascal Lissouba, to support the return to power of Denis Sassou Nguessou in 1997.""",EIU 2013; France 24: 2013,0,,,3,,"""Tensions between Angola and Congo have heightened considerably; (…) Angola's Ministry of External Relations, and the country's ambassador to Congo, initially denied the incursion and kidnappings"" (EIU 2013), and hence FLEC's retreat protection is retained to an extent.",0,,1,0,,,,,,,3,5,,
122,FLEC-FAC,Angola,Congo,541,540,484,832,,Toleration,2014,10,,,,,,1,,,,,,,,,,,,,,,,,,
123,FLEC-R,Angola,Angola,540,540,540,831,,Dom gain,1993,3,,,"(1)  ""Mar 1993 - FLEC rebels were thought to be in control of much of Cabinda's jungle interior, but the Angolan government still controlled Cabinda City, where one-half of Cabinda's population lives, and the oil wealth""",MAR (2004),,,,,,,0,,,,,Cabinda bushes,,,,,,,4,4
124,FLEC-R,Angola,Angola,540,540,540,831,,Dom loss,2002,12,,,"(1) ""By the end of the year, it was reported that the main bases of both FLEC–FAC and FLEC–R had been destroyed""; (2) ""At the end of December 2002, the FAA had claimed it had captured the bastions of another separatist faction, the FLEC-R""; (3) ""The FAA gradually advanced to the heart of the rebel-held territory, and by the end of October 2002 it had destroyed Kungo-Shonzo, the FLEC-FAC’s (Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda) main base in the municipality of Buco-Zau""",UCDP 2022; Porto 2003: 1; Porto 2003: 1,,,,,,,0,,,,,Cabinda bushes,,,,,,,4,4
125,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,,Accession,1967,1,10,,"(1) ""10 January 1967: FLEC, following the example of the MPLA, created a government in exile based in the border town of Tshela, Zaire. In the early years of the autonomy movement, Zaire allowed the rebels to use its territory and generally gave them its support.""",World Investment News 2002,,,,,,,,,,,,,4,4,,,,,,
126,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,1,Pledge,1976,5,20,,"(1) ""On May 20, 1976, Mobutu signed an agreement to cease hostilities with Angola and guarantee continued access to its ports on the Atlantic. However, tensions between Congo-Kinshasa and Angola would continue to escalate given the continued presence of (...) FLEC separatists on Congolese soil"" ",Martin 2019: 215,1,,2,,,,,,,,,,,,4,4,,,,
127,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,,Toleration,1977,5,20,,,,,1,,,,,,,,,,,,,,,,,,
128,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,1,Pledge,1978,8,19,,"(1) ""In July 1978 (...) Neto and Mobutu signed a second non-aggression pact (…) In a simple quid pro quo, Neto pledged to disarm and repatriate the Katangese if Mobutu pulled back FNLA, FLEC and UNITA bases from the border.""; (3) ""the joint communique issued mentioned no date for the reopening of the rail line.19 President Mobutu needed the rail operational so that Zairian copper could be easily exported; Neto needed Mobutu to calm the border area between the two countries. Reportedly, Neto arrested Nathaniel Mbumba, the Katangan rebel leader, as a goodwill gesture toward Mobutu.""; (4) ""Following the second invasion of Zaire's Shaba province in the spring of 1978 by the former Katangese Gendarmes based in Angola, Zaire's President Sese Seko Mobutu decided that it would be wise to try to get along with his southern neighbor, hoping to prevent a Shaba III. Angolan President Agostinho Neto proposed a rapprochement with his Zairian counterpart, offering to curb the activities of the Katangese and begin their repatriation if Mobutu would do the same""",George 2005: 136; Powell 2016: 27; James 2020: 196; Bender 1983: 125,1,,2,,,,,,,,,,,,4,4,,,,
129,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,1,Crackdown_dislodged,1978,9,,,"(1) ""This time the deal stuck and the Katangese were disarmed and repatriated (with the assistance from Cuban troops) while FNLA, FLEC and UNITA bases along the Angolan–Zairian border were shut down""; (2) ""The two leaders made the accord public on August 19 as Neto made a two-day visit to Kinshasa.""",George 2005: 136,1,,,5,,"""FLEC and UNITA bases along the Angolan–Zairian border were shut down"" (George 2005: 136)",0,,0,0,,,,,,,2,2,,
130,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,,Toleration,1979,NA,,1,"(1) ”The two leaders [Mobutu and Neto] exchanged visits to demonstrate their new friendship [in 1978] but, ultimately, little ever came from the establishment of diplomatic ties. Mobutu (...) maintained a careful vigilance over activities in Cabinda”; (2) ""The continued  operation from Zairian bases of northern Angolan (FNLA) and Cabindan (FLEC) dissident movements, and the recently resumed flow of arms through  Zaire for the central and southern Angolan UNITA insurgents were deeply  frustrating to Angola and its Cuban and Soviet backers.""; (3) ""President Mobutu of Zaire continued to support the separatists officially until 1978, when he signed a treaty with Angola. Then, until his overthrow in May 1997, Mobutu turned a blind eye to FLEC's activities, allowing his officials to take a percentage of ransom and protection payments received in the enclave by the separatists.""",James 2020: 196; Young 1978: 170; Vines 1999: 49,,,,,,,,,,,,,4,2,,,,,,
131,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,1,Pledge,1985,2,,,"(1) ""Zaire and Angola agreed not to allow rebels to use the other's territory as bases""; (2) ""in February 1985 [Mobutu] and President dos Santos agreed to establish a joint commission to ensure that neither country's territory would be used as a base for ""subversive groups."" (...) [However,] the MPLA doubts Mobutu is living up to the letter of the deal""",MAR (2004); Gunn 1986: 3,1,,2,,,,,,,,,,,,4,4,,,,
132,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,,Toleration,1985,NA,,4,"(1) ""In 1985 (...) Mobutu welcomed FLEC""; (2) ""Zaire once more initiated contact, supplying FLEC–R with both weapons and rear bases""; (3) ""in the early 1980s, Zaire became ever more important as a rear base and supply channel.""",Reed 2009: 250; UCDP Encyclopedia; McQueen 2017: 104,,,,,,,,,,,,,3,2,,,,,,
133,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,1,Crackdown_dislodged,1997,5,,,"(1) ""Following the takeover of Kinshasa by the Alliance of Democratic Forces for Liberation (AFDL) in [May] 1997, several FLEC leaders, among them José Tibúrcio Zinga Luemba of FLEC-R (...) were arrested by Laurent-Désiré Kabila’s security forces""; (2)  ""The installation of new governments in the neighboring states ended much of the Cabindan separatists' outside support, while their bases in those countries were closed and the fighters dispersed""; (3) ""[Now being] confronted with the combined pressure of a better-equipped Angolan military force and closer co-operation between Luanda and the rebels’ former allies (...) [meant that] the separatist cause had undoubtedly been greatly weakened after the downfall of Mobutu""; (4) ""With the ‘Cabinda corridor’ secure after the expulsion of the rebels from Matadi and their base at Kitona in the first days of the intervention, Angola’s aims had essentially been achieved.""; (5) ""1997, eight FLEC-R executives - including Colonel José Tiburcio Zinga Luemba - were arrested in Kinshasa on the orders of the authorities of the 'Democratic Republic of Congo' (DRC).""; (6) ""[A] military contingent of the Angolan Armed Forces (FAA) (...) had been deployed in the Democratic Republic of Congo [in June 1997]""",Martin 2019: 221; Minahan 2002: 352; Porto 2003: 10; McQueen 2017: 109; allAfrica 2022,1,,,3,,"""[FLEC's] bases in those countries were closed and the fighters dispersed"" (Minahan 2002: 352)",1,"""several FLEC leaders, among them José Tibúrcio Zinga Luemba of FLEC-R (...) were arrested by Laurent-Désiré Kabila’s security forces"" (Martin 2019: 221)",1,1,"(1) ""[A] military contingent of the Angolan Armed Forces (FAA) (...) had been deployed in the Democratic Republic of Congo [in June 1997]""",,,,,,5,5,,
134,FLEC-R,Angola,DR Congo (Zaire),540,540,490,831,,Toleration,2003,10,,,"(1) ""The military contingent of the Angolan Armed Forces (FAA) who had been deployed in the Democratic Republic of Congo [in June 1997], under the SADC intervention, will move back to Angola until month end [of October 2002]”; (2) ""The Angolan government has admitted that FLEC–FAC rebels are still infiltrating Cabinda from the Democratic Republic of Congo”; (3) ""by November 1998, long after the objectives in the Cabinda corridor had been achieved, it still retained a force estimated at 4,000.""; (4) ""10/25 - Angola's head of State Thursday in Kinshasa announced the withdrawal of the allied countries' military forces from the Democratic Republic of the Congo next week [i.e. early November]"".",allAfrica 2022; UCDP 2022; McQueen 2017: 109; ANGOP 2002,,,,,,,,,0,0,,,4,4,,,,,,
135,FPR,Rwanda,Uganda,527,517,500,804,,Accession,1987,12,,,"(1) ""FPR was established [in December 1987] in Uganda by Tutsi refugees who had fled their country to escape the abuse and repression of the Hutu-dominated government of Rwanda. (…) FPR began its attack on Rwanda in 1990, attacking from Ugandan territory""; (2) ""[Personal bonds to Museveni allowed] FPR to garner material support from Uganda in the early stages of the conflict. Initially FPR simply kept hold of the weapons their soldiers had been issued in the Ugandan army, but the group later covertly received arms and ammunition from the same source.""",UCDP/actor/527; UCDP/actor/527,,,,,,,,,,,,,4,4,,,,,,
136,Hizb-i Islami-yi Afghanistan,Afghanistan,Afghanistan,299,700,700,726,,Dom loss,1996,9,27,,"(1) ""After the fall of Kabul in September 1996, (...) Hekmatyar’s once powerful bases in the eastern and southern provinces were completely overrun by the Taliban, their arms and ammunitions confiscated, thus forcing the rank and file to either join the Taliban or desert altogether.""",Jamali 2005: 3,,,,,,,0,,,,,Southeast of Kabul,,,,,,,4,4
137,Hizb-i Islami-yi Afghanistan,Afghanistan,Pakistan,299,700,770,726,,Accession,1976,6,13,,"(1) ""They formally named the new movement Hizb-e Islami (...) in Nishtarabad [in Pakistan] on 13 June 1976""",Sands 2019: 94,,,,,,,,,,,,,5,5,,,,,,
138,Hizb-i Islami-yi Afghanistan,Afghanistan,Pakistan,299,700,770,726,,Accession,2002,2,,,"(1) ""Returning to the Afghan-Pakistan border region [in February 2002], he [Hekmatyar] aligned himself with the Taliban and took up arms against American and allied NATO forces""; (2) Hekmayar settled ""somewhere close to the Pakistani border (...) in his decades-old power base""; (3) ""Hezb’s prime stronghold [has since been] the Shamshatu refugee camp in Khyber Pakhtunkhwa province of Pakistan, that has been managed by Hezb (...) with the Pakistani government’s consent""; (4) ""As well as supporting the Afghan Taliban proper, Pakistan also became the base for operations by Hekmatyar’s Hezb""",Chalk 2013: 299; Tahir 2008: 3; Osman 2016: 6; Misra and Clarke 2011: 129,,,,,,,,,,,,,5,5,,,,,,
139,Hizb-i Islami-yi Afghanistan,Afghanistan,Pakistan,299,700,770,726,1,Crackdown,2002,11,29,,"(1) ""US agents and Pakistani security forces detained him [Hekmatyar’s son-in-law, Ghairat Bahir] in Islamabad in 2002, along with his driver, Gul Rahman, and he was secretly rendered to Afghanistan and tortured by the CIA in the ‘Salt Pit’, north of Kabul.""; (2) ""Ghairat Baheer, an Afghan national, was captured along with Gul Rahman in Islamabad, Pakistan on October 29, 2002, by U.S. agents and Pakistani security forces and subsequently transferred to Afghanistan.""; (3) ""During 2002, the United States took an increasingly direct, if low-profile, role in both law enforcement and military operations being conducted on Pakistani territory. These operations have led to favorable results in tracking and apprehending dangerous Islamic militants, but the activities of U.S. personnel in the country have led to increasing signs of anti-American backlash""; (4) ""The number of U.S. counterterrorism agents in Pakistan has been reported at between 'several dozen' and 'the low hundreds.' (...) senior Pakistani officials have indicated that F.B.I. agents participated in numerous raids, where they 'carry guns' and 'help us break down doors.'""; (5) ""[Already] On May 8, 2002, senior U.S. government officials from several executivebranch agencies hosted the first meeting of the U.S.-Pakistan Joint Working Group on Counterterrorism and Law Enforcement (...) Islamabad has [since] taken action against at least 185 of the 247 U.S.-designated entities operating on Pakistani territory""",Osman 2016: 9; Open Society Foundation 2013: 33; Kronstadt 2003: i; Kronstadt 2003: 7; Kronstadt 2003: 8-9,1,,,2,,First crackdown with US-Pakistani collaboration since re-accession to sanctuary.,0,,0,1,"(1) ""U.S. agents [now the Afghani government] and Pakistani security forces [operated jointly in Pakistan]""; (2) ""F.B.I. agents participated in numerous raids, where they 'carry guns' and 'help us break down doors.'""",,,,,,3,3,,
